grid_id,long,lat,marine_species_richness,PD,co1_genetic_diversity_mean,long_deg,lat_deg,long_dd,lat_dd,DepthMin,DepthMax,DepthMean,ClimZoneCode,SSTAnMean,SBTAnMean,SalinityMean,SalinityBMean,PrimProdMean,IceConAnn,OxyMean,OxyBMean,LandDist,Shelf,Slope,Abyssal,TidalRange,Coral,Estuary,Seamount,MPA,matched_CenterLong,matched_CenterLat
36,-3668079,-7123536,36,11.08048708,0.004878521,-36.68079,-71.23536,-36.68079,-71.23536,3868,4036,3932,SP,-1.7875189781189,-0.426257014274597,34.1142578125,34.6639442443848,1.3899999903515,0.885076999664307,314.886840820313,261.507751464844,614,0.0,780.677857142857,212.912142857143,-9999.0,0.0,0.0,0,,-36.75,-71.25
37,-3282179,-7123536,36,11.08048708,0.004878521,-32.82179,-71.23536,-32.82179,-71.23536,4085,4202,4154,SP,-1.77122402191162,-0.478228002786636,34.0734329223633,34.6641883850098,1.61000003572553,0.843407988548279,314.515228271484,262.431488037109,558,0.0,0.0,993.59,-9999.0,0.0,0.0,0,,-32.75,-71.25
38,-2896279,-7123536,36,11.08048708,0.004878521,-28.96279,-71.23536,-28.96279,-71.23536,3991,4303,4154,SP,-1.77250397205353,-0.454970985651016,34.0758743286133,34.6590385437012,1.7559999832883502,0.806831002235413,315.894866943359,263.013458251953,480,0.0,28.66125,964.92875,-9999.0,0.0,0.0,0,,-28.75,-71.25
39,-2510379,-7123536,35,10.7724287,0.004878521,-25.10379,-71.23536,-25.10379,-71.23536,3872,4305,4166,SP,-1.74430799484253,-0.486694991588593,34.0827865600586,34.655574798584,1.8489999929443,0.786961019039154,317.528381347656,264.133026123047,381,0.0,293.717136258661,699.87286374134,-9999.0,0.0,0.0,0,,-25.25,-71.25
87,16012821,-7123536,34,11.28733879,0.005524836,160.12821,-71.23536,160.12821,-71.23536,0,0,0,SP,,,,,,,,,0,0.0,0.0,0.0,,0.0,0.0,0,,160.25,-71.25
88,16398721,-7123536,37,11.50090651,0.005524836,163.98721,-71.23536,163.98721,-71.23536,0,0,0,SP,,,,,,,,,0,0.0,0.0,0.0,,0.0,0.0,0,,163.75,-71.25
89,16784621,-7123536,35,10.76507522,0.004985879,167.84621,-71.23536,167.84621,-71.23536,0,23,3,SP,-1.71009886264801,-1.56278145313263,33.8272476196289,34.3713607788086,3.39382095262408,0.627872705459595,338.331573486328,323.445770263672,1,59.6154,0.0,0.0,1.0,0.0,0.0,0,,167.75,-71.25
90,17170521,-7123536,42,11.53478914,0.007339011,171.70521,-71.23536,171.70521,-71.23536,412,2196,1409,SP,-1.63966500759125,0.95846301317215,34.1521492004395,34.7010040283203,1.34399998933077,0.660392999649048,329.070739746094,246.915084838867,54,0.0,993.59,0.0,-9999.0,0.0,0.0,0,,171.75,-71.25
92,-17174579,-6737636,60,14.49925943,0.007745345,-171.74579,-67.37636,-171.74579,-67.37636,2735,3592,3368,SP,-1.51135003566742,0.159769997000694,33.9847068786621,34.6903762817383,1.84000004082918,0.548548996448517,326.925903320313,244.769989013672,837,0.0,1195.349,0.0,-9999.0,0.0,0.0,0,,-171.75,-67.25
93,-16788679,-6737636,67,15.28164301,0.008325293,-167.88679,-67.37636,-167.88679,-67.37636,3408,3727,3543,SP,-1.5292489528656,0.160797998309135,34.0178070068359,34.6957054138184,1.36899994686246,0.545403003692627,325.285400390625,247.734924316406,971,0.0,1195.349,0.0,-9999.0,0.0,0.0,0,,-167.75,-67.25
94,-16402779,-6737636,66,14.77228686,0.008491031,-164.02779,-67.37636,-164.02779,-67.37636,3301,3879,3562,SP,-1.49912798404694,0.0804030001163483,33.9523391723633,34.6987228393555,1.30999996326864,0.544128000736237,324.4501953125,252.09196472168,1092,0.0,1195.349,0.0,-9999.0,0.0,0.0,0,,-164.25,-67.25
95,-16016879,-6737636,67,14.93679335,0.008325441,-160.16879,-67.37636,-160.16879,-67.37636,3479,4223,3806,SP,-1.4851690530777,-0.037432000041008,33.8370933532715,34.6961097717285,1.32899999152869,0.527236998081207,324.167022705078,255.25032043457,1082,0.0,837.065630376344,358.283369623656,-9999.0,0.0,0.0,0,,-160.25,-67.25
96,-15630979,-6737636,67,14.93679335,0.008325441,-156.30979,-67.37636,-156.30979,-67.37636,3700,4114,3892,SP,-1.43013095855713,-0.0689700022339821,33.7778854370117,34.6984939575195,1.29199994262308,0.517476975917816,323.788970947266,254.485565185547,1020,0.0,866.194927536232,329.154072463768,-9999.0,0.0,0.0,0,,-156.25,-67.25
97,-15245079,-6737636,66,14.47469844,0.008442348,-152.45079,-67.37636,-152.45079,-67.37636,3681,4318,4101,SP,-1.42715704441071,-0.0653000026941299,33.6981391906738,34.701000213623,1.34600000455976,0.512501001358032,324.644317626953,252.359649658203,965,0.0,598.612764521193,596.736235478807,-9999.0,0.0,0.0,0,,-152.25,-67.25
98,-14859179,-6737636,66,14.47469844,0.008442348,-148.59179,-67.37636,-148.59179,-67.37636,4014,4411,4188,SP,-1.39340698719025,-0.0575710013508797,33.6236000061035,34.701000213623,1.65600003674626,0.490635007619858,329.50244140625,250.769866943359,932,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-148.75,-67.25
99,-14473279,-6737636,67,15.09838859,0.008550385,-144.73279,-67.37636,-144.73279,-67.37636,3867,4275,4113,SP,-1.32241404056549,-0.0513360016047955,33.5788497924805,34.7057495117188,1.84399995487183,0.465912997722626,331.837707519531,248.550216674805,897,0.0,389.660335784314,805.688664215686,-9999.0,0.0,0.0,0,,-144.75,-67.25
100,-14087379,-6737636,61,14.40377259,0.009112716,-140.87379,-67.37636,-140.87379,-67.37636,3851,4462,4311,SP,-1.29709994792938,-0.013973000459373,33.5343933105469,34.7054138183594,1.90100003965199,0.436309993267059,335.499877929688,244.691772460938,852,0.0,291.500819967267,903.848180032733,-9999.0,0.0,0.0,0,,-140.75,-67.25
101,-13701479,-6737636,62,14.76698145,0.009087162,-137.01479,-67.37636,-137.01479,-67.37636,4247,4526,4366,SP,-1.28166198730469,0.0028190000448375,33.526065826416,34.7038879394531,2.07399995997548,0.421279013156891,337.419769287109,242.579528808594,785,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-137.25,-67.25
102,-13315579,-6737636,59,13.74466033,0.009252694,-133.15579,-67.37636,-133.15579,-67.37636,3927,4623,4511,SP,-1.22332894802094,0.0346649996936321,33.4953422546387,34.7024612426758,1.95900001563132,0.416193008422852,337.965881347656,239.412551879883,725,0.0,125.374248563218,1069.97475143678,-9999.0,0.0,0.0,0,,-133.25,-67.25
103,-12929679,-6737636,61,14.18731445,0.008033018,-129.29679,-67.37636,-129.29679,-67.37636,4284,4424,4337,SP,-1.22573399543762,0.0931629985570908,33.5079078674316,34.6999320983887,1.89800001680851,0.412256002426147,337.475128173828,235.069549560547,693,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-129.25,-67.25
104,-12543779,-6737636,61,14.18731445,0.008033018,-125.43779,-67.37636,-125.43779,-67.37636,4182,4432,4287,SP,-1.24497604370117,0.108065001666546,33.5022888183594,34.699577331543,1.8739999504759897,0.389459013938904,336.536102294922,231.007888793945,689,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-125.25,-67.25
105,-12157879,-6737636,65,14.80188595,0.008677638,-121.57879,-67.37636,-121.57879,-67.37636,4240,4466,4350,SP,-1.18343698978424,0.102425999939442,33.4949035644531,34.7015266418457,1.90999999176711,0.355724990367889,335.928344726563,230.013870239258,701,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-121.75,-67.25
106,-11771979,-6737636,66,14.41126137,0.009029109,-117.71979,-67.37636,-117.71979,-67.37636,4393,4593,4500,SP,-1.08293700218201,0.106677003204823,33.450511932373,34.7039985656738,1.98099995031953,0.31684398651123,335.837615966797,228.259414672852,745,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-117.75,-67.25
107,-11386079,-6737636,67,14.78574081,0.008938181,-113.86079,-67.37636,-113.86079,-67.37636,4423,4635,4499,SP,-1.02171695232391,0.112530000507832,33.4402885437012,34.7013053894043,1.97100010700524,0.29203999042511,336.257385253906,227.143081665039,691,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-113.75,-67.25
108,-11000179,-6737636,67,14.78574081,0.008938181,-110.00179,-67.37636,-110.00179,-67.37636,4103,4256,4170,SP,-1.10438299179077,0.133614003658295,33.4467010498047,34.6980018615723,2.04399996437132,0.291754990816116,338.311737060547,224.028396606445,610,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-110.25,-67.25
109,-10614279,-6737636,66,14.68294777,0.008938181,-106.14279,-67.37636,-106.14279,-67.37636,4492,4766,4661,SP,-0.703126013278961,0.117234997451305,33.4483413696289,34.6978874206543,1.90300005488098,0.17663100361824,335.94091796875,224.603759765625,545,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-106.25,-67.25
110,-10228379,-6737636,58,14.42189105,0.008916415,-102.28379,-67.37636,-102.28379,-67.37636,4614,4731,4681,SP,-0.736469984054565,0.117982000112534,33.4671821594238,34.7000007629395,1.9700000993907496,0.17153300344944,337.243560791016,223.443649291992,522,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-102.25,-67.25
111,-9842479,-6737636,56,15.00610077,0.007734436,-98.42479,-67.37636,-98.42479,-67.37636,4570,4680,4621,SP,-0.794732987880707,0.129612997174263,33.4707260131836,34.7034072875977,1.8489999929443,0.192030996084213,338.790740966797,221.809066772461,375,0.0,0.0,1195.349,-9999.0,0.0,0.0,0,,-98.25,-67.25
